,lon,lat,BestGW,SF,NumberOfSensors,NumGWs
0,49.81608239933839,9.963393299984267,"[569776.4845348785, 5519129.897274399]",7,1,2
1,49.82200599932769,9.9402933999844,"[568155.761912205, 5520548.731483756]",9,1,3
2,49.81407999932759,9.939633099984418,"[568412.6134108064, 5517145.479930685]",10,1,1
3,49.775813599332544,9.949010499984388,"[568651.7071032528, 5513744.340525249]",7,1,3
4,49.791381599318896,9.916864799984625,"[565641.6701410958, 5516256.327498261]",7,1,3
5,49.793088999329875,9.94386099998442,"[567012.915055662, 5515537.688090251]",8,1,2
6,49.812094599345535,9.977387799984196,"[569776.4845348785, 5519129.897274399]",8,1,3
7,49.81179079934537,9.977066999984194,"[569776.4845348785, 5519129.897274399]",8,1,3
8,49.78124819934406,9.97324479998425,"[568998.5945552777, 5515495.672918347]",9,1,2
9,49.78124809934414,9.973391999984242,"[568998.5945552777, 5515495.672918347]",9,1,2
10,49.78124829934405,9.973212799984251,"[568998.5945552777, 5515495.672918347]",9,1,2
11,49.78124929934384,9.972785699984245,"[568998.5945552777, 5515495.672918347]",9,1,2
12,49.78122949934416,9.973435199984257,"[568998.5945552777, 5515495.672918347]",9,1,2
13,49.78124809934411,9.973314199984236,"[568998.5945552777, 5515495.672918347]",9,1,2
14,49.78124899934391,9.97291689998425,"[568998.5945552777, 5515495.672918347]",9,1,2
15,49.78122629934387,9.972860299984244,"[568998.5945552777, 5515495.672918347]",9,1,2
16,49.78124919934385,9.97282219998425,"[568998.5945552777, 5515495.672918347]",9,1,2
17,49.78122869934398,9.973051699984254,"[568998.5945552777, 5515495.672918347]",9,1,2
18,49.7812299993441,9.97332109998424,"[568998.5945552777, 5515495.672918347]",9,1,2
19,49.78123039934406,9.97323069998425,"[568998.5945552777, 5515495.672918347]",9,1,2
20,49.78124819934409,9.973280299984252,"[568998.5945552777, 5515495.672918347]",9,1,2
21,49.78124879934394,9.973003899984239,"[568998.5945552777, 5515495.672918347]",9,1,2
22,49.78124859934398,9.973077999984248,"[568998.5945552777, 5515495.672918347]",9,1,2
23,49.781227499343935,9.97298269998426,"[568998.5945552777, 5515495.672918347]",9,1,2
24,49.781230699344036,9.973169999984256,"[568998.5945552777, 5515495.672918347]",9,1,2
25,49.78124909934388,9.97286599998425,"[568998.5945552777, 5515495.672918347]",9,1,2
26,49.7812265993439,9.972933299984254,"[568998.5945552777, 5515495.672918347]",9,1,2
27,49.78124839934403,9.973178399984253,"[568998.5945552777, 5515495.672918347]",9,1,2
28,49.78122979934412,9.973369399984245,"[568998.5945552777, 5515495.672918347]",9,1,2
29,49.77954259932781,9.938435199984461,"[567012.915055662, 5515537.688090251]",8,1,3
30,49.76189639933865,9.961473399984332,"[568651.7071032528, 5513744.340525249]",9,1,4
31,49.79284989932644,9.93582719998448,"[567012.915055662, 5515537.688090251]",7,1,2
32,49.791544299339876,9.96532379998428,"[568998.5945552777, 5515495.672918347]",7,1,2
33,49.761565199330875,9.944548599984426,"[567266.2329896999, 5512940.323153469]",7,1,4
34,49.779567399327895,9.938595699984473,"[567012.915055662, 5515537.688090251]",8,1,3
35,49.788722899328675,9.940904799984441,"[567012.915055662, 5515537.688090251]",7,1,3
36,49.78865699932869,9.940890199984423,"[567012.915055662, 5515537.688090251]",7,1,3
37,49.788693899328976,9.94157829998442,"[567012.915055662, 5515537.688090251]",7,1,3
38,49.78911449932898,9.941614699984425,"[567012.915055662, 5515537.688090251]",7,1,3
39,49.788134599328686,9.940874699984427,"[567012.915055662, 5515537.688090251]",7,1,3
40,49.78827389932869,9.940909699984438,"[567012.915055662, 5515537.688090251]",7,1,3
41,49.78597309932823,9.939704799984455,"[567012.915055662, 5515537.688090251]",7,1,3
42,49.791289399330616,9.945480499984399,"[568998.5945552777, 5515495.672918347]",8,1,2
43,49.79248239933188,9.948384199984387,"[568998.5945552777, 5515495.672918347]",7,1,2
44,49.79255389933184,9.948244199984392,"[568998.5945552777, 5515495.672918347]",7,1,2
45,49.79262329933129,9.947035899984382,"[568998.5945552777, 5515495.672918347]",8,1,2
46,49.7925811993312,9.946853599984381,"[568998.5945552777, 5515495.672918347]",8,1,2
47,49.79293969933106,9.946520599984387,"[568998.5945552777, 5515495.672918347]",8,1,2
48,49.79307839933106,9.94653629998438,"[568998.5945552777, 5515495.672918347]",8,1,2
49,49.79280009933168,9.947899699984392,"[568998.5945552777, 5515495.672918347]",7,1,2
50,49.79292099933173,9.947999299984389,"[568998.5945552777, 5515495.672918347]",7,1,2
51,49.80728999932903,9.942591899984418,"[568412.6134108064, 5517145.479930685]",7,1,1
52,49.78632829934555,9.976314999984224,"[568998.5945552777, 5515495.672918347]",9,1,2
53,49.808604799323845,9.930404499984506,"[568412.6134108064, 5517145.479930685]",10,1,1
54,49.799630599331145,9.947053599984383,"[568412.6134108064, 5517145.479930685]",7,1,1
55,49.78570509933062,9.945187899984402,"[568998.5945552777, 5515495.672918347]",8,1,2
56,49.751551499347464,9.978536399984243,"[568986.2039581367, 5511205.506028365]",10,1,3
57,49.751488099347505,9.978587899984257,"[568986.2039581367, 5511205.506028365]",10,1,3
58,49.751424799347525,9.978639499984242,"[568986.2039581367, 5511205.506028365]",10,1,3
59,49.773389499327784,9.938050399984462,"[567266.2329896999, 5512940.323153469]",7,1,4
60,49.779311399341935,9.968944899984269,"[568998.5945552777, 5515495.672918347]",9,1,2
61,49.78545599934531,9.975845699984234,"[568998.5945552777, 5515495.672918347]",9,1,2
62,49.79390579932446,9.931139099984495,"[567012.915055662, 5515537.688090251]",7,1,2
63,49.78311009932469,9.931121299984522,"[567012.915055662, 5515537.688090251]",7,1,3
64,49.78309699932465,9.931032099984504,"[567012.915055662, 5515537.688090251]",7,1,3
65,49.787999899324376,9.93064419998452,"[567012.915055662, 5515537.688090251]",7,1,3
66,49.81050939935299,9.991123399984142,"[572374.7215118355, 5517816.43567436]",8,1,3
67,49.788684599347704,9.980525099984202,"[570324.2424829092, 5516978.269441352]",9,1,3
68,49.80190759931587,9.909308599984676,"[565641.6701410958, 5516256.327498261]",7,1,3
69,49.766169048623986,9.93174567801787,"[567266.2329896999, 5512940.323153469]",7,1,4
70,49.76595775911064,9.931473367255968,"[567266.2329896999, 5512940.323153469]",7,1,4
71,49.76623837428157,9.932111417118264,"[567266.2329896999, 5512940.323153469]",7,1,4
72,49.76542555667545,9.932884711140396,"[567266.2329896999, 5512940.323153469]",7,1,5
73,49.765040903178104,9.933452834021184,"[567266.2329896999, 5512940.323153469]",7,1,5
74,49.76475605774008,9.932827171072038,"[567266.2329896999, 5512940.323153469]",7,1,5
75,49.764549613147196,9.932105499767271,"[567266.2329896999, 5512940.323153469]",7,1,5
76,49.764844385078256,9.932462181595355,"[567266.2329896999, 5512940.323153469]",7,1,5
77,49.78028608937499,9.971267475189793,"[568998.5945552777, 5515495.672918347]",9,1,2
78,49.77970576765381,9.970889839744213,"[568998.5945552777, 5515495.672918347]",9,1,2
79,49.78975620802591,9.920792783127593,"[567012.915055662, 5515537.688090251]",7,1,2
80,49.789621441193695,9.919012419754575,"[565641.6701410958, 5516256.327498261]",7,1,3
81,49.78968610563703,9.91787668514554,"[565641.6701410958, 5516256.327498261]",7,1,3
82,49.81550409211033,9.98032803836351,"[569776.4845348785, 5519129.897274399]",7,1,3
83,49.81500231120121,9.98140473265682,"[569776.4845348785, 5519129.897274399]",8,1,3
84,49.81634449408194,9.980986956702397,"[569776.4845348785, 5519129.897274399]",7,1,3
85,49.81676441938043,9.981195785499715,"[569776.4845348785, 5519129.897274399]",7,1,3
86,49.815937949423244,9.980894550211623,"[569776.4845348785, 5519129.897274399]",7,1,3
87,49.81638266311077,9.982831026182748,"[569776.4845348785, 5519129.897274399]",8,1,3
88,49.81702501164409,9.982963135056353,"[569776.4845348785, 5519129.897274399]",8,1,3
89,49.81105373666792,9.976594883118267,"[570324.2424829092, 5516978.269441352]",8,1,2
90,49.811414924232686,9.976075538401922,"[569776.4845348785, 5519129.897274399]",8,1,3
91,49.81231065838829,9.976979421710054,"[569776.4845348785, 5519129.897274399]",8,1,3
92,49.76580418125884,9.931280330654577,"[567266.2329896999, 5512940.323153469]",7,1,4
93,49.76590633952822,9.932411079787277,"[567266.2329896999, 5512940.323153469]",7,1,4
94,49.764146229890265,9.931973704554904,"[567266.2329896999, 5512940.323153469]",7,1,5
95,49.81286489628709,9.977757658514511,"[569776.4845348785, 5519129.897274399]",8,1,3
96,49.81034780744411,9.984549919008387,"[570324.2424829092, 5516978.269441352]",8,1,2
